Process ID	Wait Time (cycles)	Turnaround Time (cycles)
1	0	4670845637573
2	0	5176974608370
3	0	422465511219
4	0	6339852702895
5	0	1618272609275
6	0	1370573792850
7	422465511219	9939699932932
8	1370573792850	5324581234703
9	1618272609275	8520799442587
10	4670845637573	14227733730531
11	5176974608370	9301401536502
12	5324581234703	12086925033360
13	6339852702895	8535837400615
14	8520799442587	10321501549196
15	8535837400615	17035130283716
16	9301401536502	15832036907664
17	9939699932932	12073888454181
18	10321501549196	14027194108821
19	12073888454181	14570882846337
20	12086925033360	12740297268372
21	12740297268372	22416846869061
22	14027194108821	14110658295946
23	14110658295946	18165082153968
24	14227733730531	15407552231262
25	14570882846337	23846560792904
26	15407552231262	20149053634557
27	15832036907664	23608684698482
28	17035130283716	20134228352754
29	18165082153968	26169937860324
30	20134228352754	20750553315160
31	20149053634557	29693697221459
32	20750553315160	21693502048764
33	21693502048764	28999204687138
34	22416846869061	31734232110842
35	23608684698482	33343367098231
36	23846560792904	27759568130187
37	26169937860324	34507094297884
38	27759568130187	29849647143384
39	28999204687138	29851318545730
40	29693697221459	36199913592325
41	29849647143384	34903059241098
42	29851318545730	33525061079130
43	31734232110842	38589240560973
44	33343367098231	40124659280952
45	33525061079130	35799590859209
46	34507094297884	39796199757179
47	34903059241098	39388544178159
48	35799590859209	38987429485312
49	36199913592325	45556222602927
50	38589240560973	41803246725397
51	38987429485312	44527139981260
52	39388544178159	48993739917137
53	39796199757179	46877430224451
54	40124659280952	45494227246883
55	41803246725397	49806041328855
56	44527139981260	49694763575507
57	45494227246883	49816384175743
58	45556222602927	54157733855451
59	46877430224451	56807188675133
60	48993739917137	57528835607570
61	49694763575507	58902721396462
62	49806041328855	54605314918439
63	49816384175743	53406318668333
64	53406318668333	55866396205513
65	54157733855451	58098205815305
66	54605314918439	58410335708944
67	55866396205513	62065025203473
68	56807188675133	58064488866774
69	57528835607570	63046756936881
70	58064488866774	62759518057425
71	58098205815305	59022749538028
72	58410335708944	63040827124111
73	58902721396462	59188269874109
74	59022749538028	61956557989665
75	59188269874109	59221259689002
76	59221259689002	63316122416746
77	61956557989665	67036601845762
78	62065025203473	69414116011370
79	62759518057425	64192614041122
80	63040827124111	67768039915953
81	63046756936881	67734530003729
82	63316122416746	63490314950643
83	63490314950643	69433780252096
84	64192614041122	66728993147358
85	66728993147358	75532635200269
86	67036601845762	70094344034366
87	67734530003729	75934931663363
88	67768039915953	68252851494587
89	68252851494587	69339304411229
90	69339304411229	75495467283981
91	69414116011370	73499865229178
92	69433780252096	76938862275912
93	70094344034366	79773802171230
94	73499865229178	80900622191000
95	75495467283981	78622073257978
96	75532635200269	82233649434211
97	75934931663363	83216420241504
98	76938862275912	77068391881149
99	77068391881149	84126876639756
100	78622073257978	84867159788598
101	79773802171230	83568524980160
102	80900622191000	86540833343747
103	82233649434211	88843109774310
104	83216420241504	84053071213085
105	83568524980160	88525408345022
106	84053071213085	89443166867754
107	84126876639756	88078526063035
108	84867159788598	91842020933431
109	86540833343747	90307846645819
110	88078526063035	95338046905318
111	88525408345022	96109334697358
112	88843109774310	89373489696217
113	89373489696217	90809338509986
114	89443166867754	97711506319021
115	90307846645819	98045235631602
116	90809338509986	94292566718382
117	91842020933431	96665561466568
118	94292566718382	100153485949948
119	95338046905318	100536718380582
120	96109334697358	104182273333971
121	96665561466568	100947334773376
122	97711506319021	97898361823324
123	97898361823324	101563886250874
124	98045235631602	99761162801210
125	99761162801210	99838738970739
126	99838738970739	103976701378754
127	100153485949948	107922892246820
128	100536718380582	101602841645614
129	100947334773376	106093232275369
130	101563886250874	109931513337443
131	101602841645614	109040338293832
132	103976701378754	112598747347701
133	104182273333971	108097503329517
134	106093232275369	115412652156313
135	107922892246820	110695601528461
136	108097503329517	114628584729582
137	109040338293832	118417963472908
138	109931513337443	116307753996259
139	110695601528461	119480997037774
140	112598747347701	114071647949786
141	114071647949786	119825582267112
142	114628584729582	122539634693937
143	115412652156313	122631664755598
144	116307753996259	117199259227326
145	117199259227326	126365240668006
146	118417963472908	121156780184119
147	119480997037774	125374903367141
148	119825582267112	128776040288030
149	121156780184119	123481686682134
150	122539634693937	128780970772690
151	122631664755598	131955587155432
152	123481686682134	133099731865417
153	125374903367141	127553902133599
154	126365240668006	133725565077073
155	127553902133599	127664742933534
156	127664742933534	130579950972017
157	128776040288030	136827838491412
158	128780970772690	134690680821096
159	130579950972017	135921911854299
160	131955587155432	137340535959617
161	133099731865417	135818157028389
162	133725565077073	139696789449102
163	134690680821096	139844885560005
164	135818157028389	136809266936880
165	135921911854299	140237119552408
166	136809266936880	141694549189231
167	136827838491412	143001428958036
168	137340535959617	142009490467389
169	139696789449102	148903087507699
170	139844885560005	143087102804872
171	140237119552408	140708685779326
172	140708685779326	143516075472537
173	141694549189231	149220761895108
174	142009490467389	144434273820358
175	143001428958036	143879006281689
176	143087102804872	153000797014336
177	143516075472537	151407943493969
178	143879006281689	148635639121716
179	144434273820358	145866194048881
180	145866194048881	146065502776383
181	146065502776383	153451689028675
182	148635639121716	153921830742458
183	148903087507699	157108032622279
184	149220761895108	152075322656498
185	151407943493969	157466509049062
186	152075322656498	155697256197677
187	153000797014336	153753258768986
188	153451689028675	161164558958311
189	153753258768986	156965563026158
190	153921830742458	161365789142690
191	155697256197677	161590109471139
192	156965563026158	163174816354983
193	157108032622279	161691668833521
194	157466509049062	165639415459320
195	161164558958311	165542625099885
196	161365789142690	169858730117492
197	161590109471139	161763099817191
198	161691668833521	167319091911168
199	161763099817191	170970049564356
200	163174816354983	168783788765758
201	165542625099885	172615073657626
202	165639415459320	168557453582470
203	167319091911168	176992190058711
204	168557453582470	177546222279712
205	168783788765758	177234774340052
206	169858730117492	170444334376598
207	170444334376598	176195920338484
208	170970049564356	178707147501337
209	172615073657626	180981284596160
210	176195920338484	178065893522461
211	176992190058711	177204706251232
212	177204706251232	178127806631721
213	177234774340052	181053504390343
214	177546222279712	177909475991326
215	177909475991326	183308263407249
216	178065893522461	180903081207462
217	178127806631721	184199941400638
218	178707147501337	179184489205829
219	179184489205829	187048570495175
220	180903081207462	182713600753423
221	180981284596160	187806854306950
222	181053504390343	183016635581671
223	182713600753423	185623527652800
224	183016635581671	189195848350298
225	183308263407249	188701122852912
226	184199941400638	185697896963506
227	185623527652800	185716794080092
228	185697896963506	187281920877788
229	185716794080092	189208633346272
230	187048570495175	193383460162149
231	187281920877788	195733727456555
232	187806854306950	197695016513438
233	188701122852912	192267292800735
234	189195848350298	198010145257188
235	189208633346272	191123289186506
236	191123289186506	195588372532830
237	192267292800735	195952703489279
238	193383460162149	202267020412409
239	195588372532830	200217088831852
240	195733727456555	200606350250616
241	195952703489279	197854169933679
242	197695016513438	202327612366595
243	197854169933679	205745439191821
244	198010145257188	206465825908851
245	200217088831852	203881819011645
246	200606350250616	209695029434471
247	202267020412409	207546643488712
248	202327612366595	211842871288585
249	203881819011645	206010046794797
250	205745439191821	215743313745960
