Process ID	Wait Time	Turnaround Time
1	929154362427	5600000000000
2	1023025391630	6200000000000
3	177534488781	600000000000
4	1360147297105	7700000000000
5	481727390725	2100000000000
6	329426207150	1700000000000
7	2582765578287	12100000000000
8	2545992558147	6500000000000
9	3597473166688	10500000000000
10	7543111907042	17100000000000
11	7075573071868	11200000000000
12	7937656201343	14700000000000
13	8104015302280	10300000000000
14	10799297893391	12600000000000
15	12200707116899	20700000000000
16	12669364628838	19200000000000
17	12565811478751	14700000000000
18	13494307440375	17200000000000
19	15203005607844	17700000000000
20	14946627764988	15600000000000
21	17523450399311	27200000000000
22	17116535812875	17200000000000
23	18045576141978	22100000000000
24	17520181499269	18700000000000
25	19524322053433	28800000000000
26	19658498596705	24400000000000
27	20723352209182	28500000000000
28	21300901930962	24400000000000
29	23795144293644	31800000000000
30	24583675037594	25200000000000
31	26355356413098	35900000000000
32	25457051266396	26400000000000
33	27994297361626	35300000000000
34	29182614758219	38500000000000
35	30565317600251	40300000000000
36	29686992662717	33600000000000
37	33562843562440	41900000000000
38	34109920986803	36200000000000
39	35547886141408	36400000000000
40	37393783629134	43900000000000
41	37246587902286	42300000000000
42	37126257466600	40800000000000
43	39944991549869	46800000000000
44	41618707817279	48400000000000
45	41325470219921	43600000000000
46	42910894540705	48200000000000
47	43214515062939	47700000000000
48	44212161373897	47400000000000
49	45743690989398	55100000000000
50	47485993835576	50700000000000
51	48560289504052	54100000000000
52	49694804261022	59300000000000
53	49718769532728	56800000000000
54	49530432034069	54900000000000
55	52497205396542	60500000000000
56	55232376405753	60400000000000
57	55877843071140	60200000000000
58	56998488747476	65600000000000
59	58870241549318	68800000000000
60	61064904309567	69600000000000
61	62192042179045	71400000000000
62	61300726410416	66100000000000
63	61210065507410	64800000000000
64	65339922462820	67800000000000
65	66459528040146	70400000000000
66	66994979209495	70800000000000
67	69001371002040	75200000000000
68	69042699808359	70300000000000
69	70882078670689	76400000000000
70	71304970809349	76000000000000
71	70675456277277	71600000000000
72	71869508584833	76500000000000
73	71414451522353	71700000000000
74	72266191548363	75200000000000
75	71767010185107	71800000000000
76	72705137272256	76800000000000
77	76219956143903	81300000000000
78	76750909192103	84100000000000
