Process ID	Wait Time (cycles)	Turnaround Time (cycles)
1	2496994392156	7167840029729
2	3705692559625	8882667167995
3	0	211232755609
4	3938444029327	7108370380774
5	0	809136304637
6	0	685286896425
7	123623015040372	128381632251228
8	685286896425	2662290617351
9	14274578360086	17725841776742
10	125063404735305	129841848781784
11	876230565261	3938444029327
12	6606521485782	11987693385110
13	-2788767244391	1309225104469
14	-4000000000000	1800702106609
15	97109428483799	106359074925349
16	-658796199799	8606521485782
17	-6190863695363	1876230565261
18	-8000000000000	3705692559625
19	-9000000000000	2496994392156
20	-8690774895531	1635911221975
21	118841848781784	134680123582128
22	-10364088778025	1677643315537
23	-11199297893391	5855125964631
24	-12322356684463	2267552565902
25	100747411256721	120385250230004
26	-13029546901446	5341203800201
27	65293722084451	86182045979860
28	-15732447434098	3817101600421
29	70155750230259	93158178083437
30	-17337709382649	2970453098554
31	103376988264167	129149310057618
32	-18182898399579	4288575967223
33	32127341761500	62433044399874
34	94964322419482	123623015040372
35	104609958467304	114344640867053
36	-21711424032777	6245079635864
37	70258378913254	101426957132034
38	-21754920364136	7290119142462
39	-23144874035369	6707239823223
40	-23292760176777	13213456194089
41	-23709880857538	9816825191319
42	-24891629619226	8945241647474
43	-18851228150460	17576276074605
44	-21903326667581	18877965515140
45	-27832159970271	9442369809808
46	-27054758352526	11589794377121
47	-25589255495630	13653486972900
48	-28183174808681	11410744504370
49	81385250230004	125063404735305
50	-31117332832005	12096673332419
51	-31557630190192	14982080305756
52	82598968911739	134204164650717
53	-2578923333304	43961691900332
54	-32410205622879	14274578360086
55	41504426527028	94507221130486
56	-32346513027100	16237298770023
57	-35012306614890	14148771849540
58	57673427619435	109974183245697
59	85204164650717	95133923101399
60	52533702793123	106801250638339
61	60909485730171	121117443551126
62	-38786543805911	18012729783673
63	-36762701229977	18032266016318
64	-39017919694244	17442157842936
65	-36967733983682	20002501996245
66	-38423723925395	19478786469857
67	-33475983169535	29722645828425
68	-40557842157064	18699458034577
69	-35425752300549	26333208364106
70	-41300541965423	23394487225228
71	-43274158223258	18188113638103
72	-43987270216327	22643221198840
73	-44811886361897	18330887876926
74	-45669112123074	19797792102744
75	-45521213530143	19495281377303
76	-46504718622697	21542712741175
77	-45390791885817	24149230042231
78	-10802139856680	64546950951217
79	-49947841950963	20485254032734
80	-48457287258825	23906319137096
81	-50029934388632	25657838678216
82	-53122034484860	19052158049037
83	-49093680862904	26878051787822
84	-54202207897256	21065981655862
85	31801250638339	111203071664794
86	-55997498003755	21531373090547
87	16158178083437	97258378913254
88	-57514745967266	20970065611368
89	-57934018344138	21609208114183
90	-55850769957769	27227311478607
91	-59468626909453	23574247699451
92	-3756659250246	81995881761662
93	50190654842869	55030383911301
94	-21566955600126	69833801361696
95	-62356778801160	25769827172837
96	-51220991112350	38129516004621
97	-32004803359638	58635940929432
98	-64605512774772	23524016830465
99	-48855604637601	43673637741702
100	-59660392161910	33462151103400
101	-64666791635894	28230569768571
102	-63769430231429	31050675344944
103	-59795295195488	39814165144611
104	-68342161321784	26494489649797
105	-68121948212178	29356493470253
106	-68772688521393	29922359305941
107	-71230172827163	29721476596116
108	-62539825572867	42435035571966
109	-72505510350203	30261502951869
110	-57908261700614	49351259141669
111	-19568253590582	85223709585586
112	-72643506529747	29621683431206
113	-73378316568794	30339607838090
114	-9825959719657	98308210005976
115	-26232962458755	86504426527028
116	-76278523403884	33204704804512
117	-77277354171575	34546186361562
118	-78077640694059	32852818921724
