Process ID	Burst Time (cycles)	Memory (MB)
1	5385250447175	1416
2	7394214018209	1152
3	2691345470779	1756
4	4547869544037	1765
5	9879392191612	535
6	2105697016409	1804
7	7642130429131	1126
8	9228454095332	1453
9	6305687900938	115
10	3545403729068	1787
11	3762783965053	418
12	8729443656673	1581
13	1245361963756	1367
14	3632995256716	1610
15	3612711939530	1394
16	2151467816881	1720
17	1516018714866	1122
18	8249503012401	1361
19	8079021322881	1834
20	2085992869892	367
21	2174135156629	1983
22	7951445226128	287
23	9465798785849	1816
24	9218324746689	1489
25	3970966569520	1887
26	1979665914683	352
27	8460230529751	128
28	2578543542906	1875
29	9943418820003	486
30	8681362211435	1784
31	9259260270413	1103
32	9764142412571	1155
33	5600948788415	429
34	8060574027066	481
35	3713209287892	848
36	1495350509485	784
37	1045154728650	458
38	3974801374237	1635
39	7234671723886	378
40	9509409302869	1448
41	8711896750934	1721
42	3284885604170	989
43	9301742981373	432
44	3453119247042	1562
45	4465800310068	1969
46	775493343729	409
47	5002056141314	1228
48	116660376423	889
49	5924392998406	686
50	6947227391114	91
51	6314282411957	1637
52	7416214535422	345
53	9428672491774	729
54	7079802400317	543
55	2991906785684	702
56	7905478715079	1783
57	2476524188887	596
58	231122685232	1330
59	1888202291478	1248
60	8065090545040	1975
61	7994945708517	1100
62	2509899668050	562
63	4460799946797	1515
64	8442216906429	572
65	6910600435087	696
66	58476952974	641
67	4781011671808	1513
68	7851953147652	915
69	6800362255635	909
70	4806775838527	1238
71	5627272578	1664
72	1859818356974	15
73	7026330130425	1097
74	274552545530	1348
75	7064565971615	1541
76	4501357168526	748
77	7971824507648	704
78	2757540869927	1461
79	2728997366270	522
80	9244927154594	786
81	1677558302233	1023
82	8873679294297	1498
83	1472512812348	223
84	7577925391508	1885
85	6416932281668	1331
86	7792967277996	551
87	5999970823278	893
88	6024812635818	153
89	7345584172539	1272
90	7103467936323	1134
91	4290426017522	241
92	3648646302313	1522
93	975194239335	1387
94	52964335031	246
95	3774076311668	1940
96	1779699535508	735
97	1466239319919	1887
98	7703298298323	624
99	2294864080775	504
100	6401284118025	649
101	8905770140653	215
102	9164037232854	113
103	3531229910996	1777
104	9444882436068	704
105	1619849351546	1334
106	5960248602930	600
107	942138544002	1511
108	285316466913	1639
109	282523431596	1351
110	6061445922915	1972
111	5857137376622	1713
112	2879361381008	78
113	90957378553	1755
114	5175230083368	936
115	810291028139	917
116	602686042163	1421
117	5383811460217	1415
118	4568061968051	1362
119	7747724345983	1339
120	4846606108229	898
121	7654548587399	1636
122	5931575785283	757
123	1435493464235	162
124	4518078880437	222
125	6906333067054	231
126	1508611105	1272
127	1244814733718	464
128	4893009310165	1113
129	6071723426593	256
130	6346137109599	151
131	2773627054361	936
132	6807934903076	228
133	9172928809500	416
134	5396455944419	8
135	3387699593251	1275
136	3706733329357	1926
137	7584563284984	1357
138	934937480009	1648
139	2403547506723	1010
140	4220251836035	1309
141	562067895685	1739
142	5442473536252	1549
143	9722414052212	1573
144	1021965892674	586
145	2017248954982	1372
146	5262903000910	1190
147	4083590557401	1256
148	3443556160627	1514
149	9924966075216	745
150	5040599078935	10
151	5281730853246	1275
152	7132550317260	316
153	6288265028197	1952
154	722770366729	882
155	2129698067129	1008
156	7140836946888	584
157	9836043189454	1468
158	7764330400146	1588
159	9367619413024	636
160	1548542148384	1066
161	5403436565294	857
162	2680436744085	754
163	5039828281689	125
164	4938448878456	1430
165	8527713046036	1131
166	315499263698	1687
167	8558421484591	285
168	5868057236778	1965
169	4969077669238	537
170	2200699128217	1814
171	6496390559648	1336
172	2445298417993	590
173	4280364882810	670
174	9728426694802	1572
175	6824805334734	965
176	9491875625555	232
177	2125451129792	760
178	2575112206252	1471
179	4608838472376	1742
180	2652263419554	1950
181	7397019429441	1080
182	5107670833891	78
183	2615266915391	764
184	8428905813549	1880
185	3540579599858	852
186	4320846429164	1678
187	2843495573623	612
188	7877301381352	731
189	6161262896880	1715
190	399887883455	1849
191	4148519548838	198
192	3113603798241	1157
193	5171746387259	1219
194	5733792248880	1718
195	1383329561466	1254
196	5171046978858	1635
197	6700080709005	506
198	286069619416	185
199	7477732878188	1379
200	8076812871495	36
201	3543911338673	1271
202	4247125387432	1658
203	661946901527	673
204	4564072777696	356
205	36329602491	1954
206	5349116328132	924
207	8792609280941	1679
208	2788797575201	674
209	687845672540	1257
210	8553930052750	1371
211	2995265827506	952
212	5722033758769	1321
213	524923328035	613
214	4917782248821	1236
215	9482854604619	626
216	4704936263006	800
217	3847479711991	80
218	3530792837062	292
219	4287998663595	70
220	4354346815220	1027
221	6534821538092	433
222	7190016186183	1079
223	4180215911282	1120
224	3699442659597	1945
225	6767311650339	482
226	2875872848772	1138
227	1002307339553	1025
228	2399123458539	516
229	1563847817836	1125
230	4639370126821	288
231	9856314077398	971
232	8501859824182	234
233	2807149904340	151
234	936218289715	1161
235	6691553534230	433
236	4131797331505	364
237	5962031367224	1118
238	6351818347741	70
239	6834598855900	332
240	5863703516185	1749
241	8304345432008	1929
242	5460322524398	1015
243	4701943673249	307
244	6030962684535	595
245	2857170550525	180
246	7581412695298	1513
247	2994201153188	1837
248	7844173789575	521
249	8061394982742	1394
250	9404784922041	1849
